𫝈	㑮
沩	溈
准	準 准
沟	溝
𪶄	溡
温	溫
浉	溮
涢	溳
湿	溼
沧	滄
灭	滅
涤	滌
荥	滎
沪	滬
滞	滯
渗	滲
卤	滷 鹵
浒	滸
浐	滻
滚	滾
满	滿
渔	漁
溇	漊
漓	漓 灕
沤	漚
汉	漢
涟	漣
渍	漬
涨	漲
溆	漵
渐	漸
浆	漿
颍	潁
泼	潑
洁	潔
𣲘	潕
㴋	潚
潜	潛
𫞗	潣
润	潤
浔	潯
溃	潰
滗	潷
涠	潿
涩	澀
𣶩	澅
浇	澆
涝	澇
涧	澗
渑	澠
泽	澤
滪	澦
泶	澩
𫞚	澬
浍	澮
淀	澱 淀
㳠	澾
浊	濁
浓	濃
㳡	濄
𣸣	濆
泞	濘
溁	濚
浕	濜
济	濟
涛	濤
㳔	濧
滥	濫
潍	濰
滨	濱
溅	濺
泺	濼
滤	濾
𪵱	濿
澛	瀂
𣽷	瀃
滢	瀅
渎	瀆
㲿	瀇
泻	瀉
渖	瀋
浏	瀏
濒	瀕
泸	瀘
沥	瀝
潇	瀟
潆	瀠
潴	瀦
泷	瀧
濑	瀨
㳽	瀰
潋	瀲
澜	瀾
沣	灃
滠	灄
𫞝	灍
洒	灑
𪷽	灒
滩	灘
𣺼	灙
灏	灝
㳕	灡
湾	灣
滦	灤
滟	灩 灧
灶	灶 竈
灾	災
为	為
乌	烏
烃	烴
无	無
𪸩	煇
炼	煉 鍊
炜	煒
烟	煙 菸
茕	煢
焕	煥
烦	煩
炀	煬
㶽	煱
𪸕	熂
煴	熅
𤈶	熉
𤇄	熌
荧	熒
𤆡	熓
炝	熗
𤇹	熚
𤋏	熡
热	熱
颎	熲
炽	熾
烨	燁
灯	燈
炖	燉
烧	燒
烫	燙
焖	燜
营	營
灿	燦
烛	燭
烩	燴
㶶	燶
熏	燻 熏
烬	燼
焘	燾
𫞡	爃
𤇃	爄
𦶟	爇
烁	爍
炉	爐
𤇭	爖
烂	爛
𪹳	爥
𫞠	爧
争	爭
爷	爺
尔	爾
床	牀
墙	牆
牍	牘
牵	牽
荦	犖
牦	犛
𪺭	犞
犊	犢
牺	犧
状	狀
狭	狹
狈	狽
𪺽	猌
狰	猙
犹	猶
狲	猻
犸	獁
狱	獄
狮	獅
𪺷	獊
奖	獎
独	獨
𤞃	獩
狯	獪
猃	獫
狝	獮
狞	獰
㺍	獱
获	獲 穫
猎	獵
犷	獷
兽	獸
獭	獺
献	獻
猕	獼
猡	玀
𤞤	玁
玩	玩 翫
𫞥	珼
现	現
珐	琺
珲	琿
玮	瑋
玚	瑒
琐	瑣
瑶	瑤
莹	瑩
玛	瑪
玱	瑲
𪻲	瑻
𪻐	瑽
璇	璇 璿
琏	璉
𫞩	璊
𪻺	璝
琎	璡
玑	璣
瑷	璦
珰	璫
㻅	璯
环	環
玙	璵
瑸	璸
𫞨	璼
玺	璽
𫞦	璾
𪻨	瓄
琼	瓊
珑	瓏
璎	瓔
𤦀	瓕
瓒	瓚
𤩽	瓛
瓯	甌
瓮	甕
产	產
亩	畝
毕	畢
画	畫
异	異
当	當 噹
𪽈	畼
畴	疇
叠	疊
症	症 癥
痉	痙
𪽪	痮
痴	痴 癡
痹	痺
疴	痾
痖	瘂
疯	瘋
疡	瘍
痪	瘓
瘗	瘞
疮	瘡
疟	瘧
瘆	瘮
𪽷	瘱
疭	瘲
瘘	瘻
疗	療
痨	癆
痫	癇
瘅	癉
𤶊	癐
疠	癘
瘪	癟
痒	癢
疖	癤
疬	癧
癞	癩
癣	癬
瘿	癭
瘾	癮
痈	癰
瘫	癱
癫	癲
发	發 髮
皂	皂 皁
皑	皚
𤾀	皟
疱	皰
皲	皸
皱	皺
盗	盜
盏	盞
尽	盡 儘
监	監
盘	盤
卢	盧
𪾔	盨
𪾣	眝
眦	眥
众	眾
𪾢	睍
睁	睜
睐	睞
眍	瞘
䁖	瞜
瞒	瞞
𥆧	瞤
瞆	瞶
睑	瞼
𪾸	矉
𪾦	矑
眬	矓
瞩	矚
矩	矩 榘
矫	矯
硁	硜
硖	硤
砗	硨
砚	硯
𥐻	碙
硕	碩
砀	碭
砜	碸
确	確 确
码	碼
䂵	碽
硙	磑
砖	磚
硵	磠
碜	磣
碛	磧
矶	磯
硗	磽
䃅	磾
硚	礄
硷	礆
础	礎
𥐟	礒
碍	礙
矿	礦
砺	礪
砾	礫
矾	礬
𪿫	礮
砻	礱
禄	祿
祸	禍
祯	禎
祎	禕
祃	禡
禅	禪
礼	禮
祢	禰
祷	禱
秃	禿
私	私 俬
籼	秈
秋	秋 鞦
秘	秘 祕
税	稅
秆	稈
䅉	稏
禀	稟
种	種 种
称	稱
䅟	穇
稣	穌
积	積
颖	穎
秾	穠
穑	穡
秽	穢
稳	穩
稆	穭
穞	穭
窝	窩
洼	窪
穷	窮
窑	窯
窎	窵
窭	窶
窥	窺
窜	竄
窍	竅
窦	竇
窃	竊
𥩟	竚
𫁟	竱
竞	競
笔	筆
笋	筍
笕	筧
䇲	筴
笺	箋
筝	箏
节	節
范	範 范
筑	築 筑
箧	篋
筼	篔
𥬠	篘
筿	篠
笃	篤
筛	篩
筚	篳
𥮾	篸
箦	簀
𫂆	簂
篓	簍
箪	簞
简	簡
𫂃	簢
篑	簣
箫	簫
檐	簷
筜	簹
帘	簾 帘
篮	籃
𥫣	籅
𥬞	籋
筹	籌
䉤	籔
箓	籙
篯	籛
箨	籜
籁	籟
笼	籠
签	籤 簽
笾	籩
簖	籪
篱	籬
箩	籮
吁	籲 吁
粤	粵
粽	粽 糉
糁	糝
粪	糞
粮	糧
粝	糲
籴	糴
粜	糶
纟	糹
𫄙	糺
系	系 係 繫
纠	糾
纪	紀
纣	紂
约	約
红	紅
纡	紆
纥	紇
纨	紈
纫	紉
纹	紋
纳	納
纽	紐
纾	紓
纯	純
纰	紕
纼	紖
纱	紗
纮	紘
纸	紙
级	級
纷	紛
纭	紜
纴	紝
𫄛	紟
纺	紡
䌷	紬
细	細
绂	紱
绁	紲
绅	紳
纻	紵
绍	紹
绀	紺
绋	紼
绐	紿
绌	絀
𫄟	絁
终	終
组	組
䌹	絅
绊	絆
𫟃	絍
绗	絎
结	結
绝	絕
𫄠	絙
绦	絛
绔	絝
绞	絞
络	絡
绚	絢
𫄢	絥
给	給
𫄡	絧
绒	絨
绖	絰
统	統
丝	絲
绛	絳
绢	絹
𫄨	絺
𦈌	綀
绑	綁
绡	綃
绠	綆
𦈋	綇
绨	綈
𫟄	綋
绤	綌
绥	綏
䌼	綐
经	經
𫄧	綖
综	綜
缍	綞
𫄫	綟
绿	綠
𫟅	綡
绸	綢
绻	綣
绶	綬
维	維
绹	綯
绾	綰
纲	綱
网	網
缀	綴
䌽	綵
纶	綸
绺	綹
绮	綺
绽	綻
绰	綽
绫	綾
绵	綿
绲	緄
缁	緇
紧	緊
绯	緋
𦈏	緍
绪	緒
绬	緓
缃	緗
缄	緘
缂	緙
线	線
缐	線
缉	緝
缎	緞
𫟆	緟
缔	締
缗	緡
缘	緣
𫄬	緤
缌	緦
编	編
缓	緩
縆	緪
缅	緬
𫄭	緮
纬	緯
𦈕	緰
缑	緱
缈	緲
练	練
缏	緶
𦈉	緷
𦈑	緸
缇	緹
萦	縈
缙	縉
缢	縊
缒	縋
𫄰	縍
𦈔	縎
绉	縐
缣	縑
緼	縕
缊	縕
缞	縗
缚	縛
缜	縝
缟	縞
缛	縟
县	縣
缝	縫
𦈚	縬
缡	縭
缩	縮
𫄳	縰
纵	縱
缧	縲
䌸	縳
缦	縵
絷	縶
缕	縷
𫄲	縸
缥	縹
𦈐	縺
总	總
绩	績
𫄴	繂
绷	繃 綳
缫	繅
缪	繆
𫄶	繈
𦈝	繏
𰬸	繐
缯	繒
𦈛	繓
织	織
缮	繕
缭	繚
绕	繞
𦈎	繟
绣	繡
缋	繢
𫄤	繨
绳	繩
绘	繪
𫄱	繬
茧	繭
缳	繯
缲	繰
缴	繳
𫄷	繶
𫄣	繷
䍁	繸
绎	繹
𦈡	繻
继	繼
缤	繽
缱	繾
䍀	繿
𫄸	纁
颣	纇
缬	纈
纩	纊
续	續
缠	纏
缨	纓
纤	纖 縴
𫄹	纗
缵	纘
𫄥	纚
缆	纜
钵	缽 鉢
䓨	罃
罂	罌
罚	罰
骂	罵
罢	罷
罗	羅
罴	羆
羁	羈
芈	羋
群	群 羣
羟	羥
羡	羨
义	義
𫅗	羵
膻	羶 膻
习	習
翚	翬
翘	翹
翙	翽
耧	耬
耢	耮
圣	聖
闻	聞
联	聯
聪	聰
声	聲
耸	聳
聩	聵
聂	聶
职	職
聍	聹
𫆏	聻
听	聽
聋	聾
肃	肅
胄	胄 冑
背	背 揹
胡	胡 鬍 衚
胁	脅
脉	脈
胫	脛
𣍰	脥
脱	脫
胀	脹
肾	腎
胨	腖
脶	腡
脑	腦
𣍯	腪
肿	腫
脚	腳
肠	腸
腽	膃
腘	膕
肤	膚
䏝	膞
胶	膠
𦝼	膢
腻	膩
𪱥	膹
胆	膽
脍	膾
脓	膿
脸	臉
脐	臍
膑	臏
𣎑	臗
腊	臘 腊
胪	臚
脔	臠
臜	臢
卧	臥
临	臨
致	致 緻
台	臺 檯 颱 台
与	與
兴	興
举	舉
旧	舊
舍	舍 捨
舱	艙
𫇛	艣
舣	艤
舰	艦
舻	艫
艰	艱
芸	芸 蕓
刍	芻
苔	苔 薹
苎	苧
兹	茲
荆	荊
庄	莊
茎	莖
荚	莢
苋	莧
𰰨	菕
华	華
苌	萇
莱	萊
万	萬 万
荝	萴
莴	萵
叶	葉 叶
荭	葒
𫈎	葝
荮	葤
苇	葦
荤	葷
𫇭	蒍
莳	蒔
蒀	蒕
蒙	蒙 矇 濛 懞
莅	蒞
𫇴	蒭
苍	蒼
荪	蓀
盖	蓋
𦰏	蓧
莲	蓮
苁	蓯
莼	蓴
荜	蓽
蔑	蔑 衊
蒌	蔞
蒋	蔣
葱	蔥
茑	蔦
荫	蔭 廕
𫈟	蔯
荨	蕁
蒇	蕆
荞	蕎
荬	蕒
莸	蕕
荛	蕘
𫈵	蕝
蒉	蕢
荡	蕩 盪
芜	蕪
萧	蕭
𫈉	蕳
蓣	蕷
𫇽	蕽
蕰	薀
𫉁	薆
荟	薈
蓟	薊
芗	薌
蔷	薔
荙	薘
莶	薟
荐	薦 荐
萨	薩
䓕	薳
苧	薴
䓓	薵
荠	薺
蓝	藍
荩	藎
艺	藝
药	藥 葯
薮	藪
䓖	藭
苈	藶
𫉄	藷
蔼	藹
蔺	藺
萚	蘀
蕲	蘄
芦	蘆
苏	蘇 甦 囌
蕴	蘊
藴	蘊
苹	蘋 苹
藓	蘚
蔹	蘞
𦻕	蘟
茏	蘢
兰	蘭
蓠	蘺
萝	蘿
蔂	虆
处	處
虚	虛
虏	虜
号	號
亏	虧
虬	虯
蛱	蛺
蜕	蛻
蚬	蜆
蚀	蝕
猬	蝟
虾	蝦
虱	蝨
蜗	蝸
蛳	螄
蚂	螞
萤	螢
䗖	螮
蝼	螻
螀	螿
𫋇	蟂
蛰	蟄
蝈	蟈
螨	蟎
𫋌	蟘
𫊸	蟜
虮	蟣
蝉	蟬
蛲	蟯
虫	蟲 虫
𫊻	蟳
蛏	蟶
蚁	蟻
𧏗	蠀
蚃	蠁
蝇	蠅
虿	蠆
蝎	蠍 蝎
蛴	蠐
蝾	蠑
蚝	蠔 蚝
𧏖	蠙
蜡	蠟 蜡
蛎	蠣
𫊮	蠦
蟏	蠨
蛊	蠱
蚕	蠶
蛮	蠻
𧑏	蠾
术	術 朮
卫	衛
冲	衝 沖
表	表 錶
衮	袞
里	裏 里
补	補
装	裝
裈	褌
袆	褘
裤	褲
裢	褳
褛	褸
亵	褻
𫌀	襀
裥	襉 襇
袯	襏
𫋹	襓
袄	襖
𫋷	襗
𫋻	襘
裣	襝
裆	襠
褴	襤
袜	襪
䙓	襬
衬	襯
𧝝	襰
袭	襲
襕	襴
𫌇	襵
见	見
觃	覎
规	規
觅	覓
视	視
觇	覘
𫌪	覛
觋	覡
觍	覥
觎	覦
亲	親
觊	覬
觏	覯
觐	覲
觑	覷
𫌭	覹
觉	覺
𫌨	覼
览	覽
觌	覿
观	觀
觞	觴
觯	觶
触	觸
讠	訁
订	訂
讣	訃
计	計
讯	訊
讧	訌
讨	討
讦	訐
𫍙	訑
讱	訒
训	訓
讪	訕
讫	訖
托	託 托
讬	託
记	記
讹	訛
𫍛	訜
讶	訝
𫍚	訞
讼	訟
䜣	訢
诀	訣
讷	訥
𫟞	訨
讻	訩
访	訪
设	設
许	許
诉	訴
诃	訶
诊	診
𧮪	詀
诂	詁
诋	詆
𫟟	詊
讵	詎
诈	詐
𫍡	詑
诒	詒
𫍜	詓
诏	詔
评	評
诐	詖
诇	詗
诎	詘
诅	詛
词	詞
咏	詠
诩	詡
询	詢
诣	詣
试	試
诗	詩
